trial_id,replicate,epoch,final_epoch_flag,train_loss,val_loss,test_loss,train_mae,val_mae,test_mae,train_rmse,val_rmse,test_rmse,train_r2,val_r2,test_r2,train_mape,val_mape,test_mape,optimizer,learning_rate,dynamic_learning_rate,batch_size,dropout_rate,layers,param_set_id,early_stopped,runtime_seconds,hyeperparameters
trial_1747478546,0,0,0,0.02114383690059185,0.00044280599104240537,0.0011680725729092956,0.04757768660783768,0.01577097177505493,0.027357440441846848,,,0.03417707607150078,,,0.9436286849821749,,,3.812609910964966,nadam,0.009999999776482582,,,,,manual,False,4.951270818710327,{}
trial_1747478546,0,1,0,0.00038593693170696497,0.0005839685327373445,0.0019149205181747675,0.01484274584800005,0.020634494721889496,0.038788605481386185,,,0.04375980421900749,,,0.9075857318269125,,,5.1376752853393555,nadam,0.009999999776482582,,,,,manual,False,7.1243414878845215,{}
trial_1747478546,0,2,0,0.0003660943766590208,0.0012364399153739214,0.0009610386332497001,0.014495203271508217,0.028462182730436325,0.020844444632530212,,,0.031000623479485512,,,0.9536201723356977,,,3.0971086025238037,nadam,0.009999999776482582,,,,,manual,False,9.063413381576538,{}
trial_1747478546,0,3,0,0.00029859639471396804,0.0005957030807621777,0.0006288790027610958,0.013035152107477188,0.01569373719394207,0.01581081934273243,,,0.02507746033370495,,,0.9696502273880285,,,2.397190809249878,nadam,0.009999999776482582,,,,,manual,False,10.881223201751709,{}
trial_1747478546,0,4,0,0.00026115120272152126,0.0005750207928940654,0.001620162627659738,0.012209037318825722,0.020606033504009247,0.03595682978630066,,,0.040251243859529495,,,0.9218107772929393,,,4.788352012634277,nadam,0.009999999776482582,,,,,manual,False,12.867212533950806,{}
trial_1747478546,0,5,0,0.00026770567637868226,0.0003761689004022628,0.0005877228104509413,0.012331887148320675,0.012898948043584824,0.017472371459007263,,,0.02424299530684948,,,0.9716364296962011,,,2.550532341003418,nadam,0.009999999776482582,,,,,manual,False,14.671712875366211,{}
trial_1747478546,0,6,0,0.00022971091675572097,0.0007412837003357708,0.0015964285703375936,0.011406292207539082,0.02431921660900116,0.036279015243053436,,,0.03995533287525177,,,0.9229561801025904,,,4.882344722747803,nadam,0.009999999776482582,,,,,manual,False,16.533197164535522,{}
trial_1747478546,0,7,0,0.00021864980226382613,0.00036785125848837197,0.0008019300294108689,0.011140450835227966,0.01455342210829258,0.02344360575079918,,,0.028318369761109352,,,0.96129876553531,,,3.2410080432891846,nadam,0.009999999776482582,,,,,manual,False,18.344438791275024,{}
trial_1747478546,0,8,0,0.00019388266082387418,0.0004203395510558039,0.00106387073174119,0.010537388734519482,0.016965536400675774,0.028569530695676804,,,0.032617032527923584,,,0.9486574877865197,,,3.851745367050171,nadam,0.009999999776482582,,,,,manual,False,20.278501749038696,{}
trial_1747478546,0,9,0,0.00019354285905137658,0.0011747896205633879,0.0029678111895918846,0.010428604669868946,0.031810130923986435,0.05149797350168228,,,0.054477620869874954,,,0.8567731023870844,,,6.715263366699219,nadam,0.009999999776482582,,,,,manual,False,22.143995761871338,{}
